Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PERCEPTION,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS
IR-E-C-18154,University College of Engingeering,Kakinada,Andhra Pradesh,36.72,123,59.48,4.18,57.92,56.26,4.23,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-27058,Mepco Schlenk Engineering College,Sivakasi,Tamil Nadu,36.67,124,49.66,19.34,47.9,46.51,17.35,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0491,"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",Chennai,Tamil Nadu,36.63,125,57.36,21.44,42.16,41.95,3.56,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0507,Dayalbagh Educational Institute,Agra,Uttar Pradesh,36.62,126,61.61,7.63,49.47,53.44,6.19,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0175,YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),Faridabad,Haryana,36.59,127,59.79,6.05,55.73,50.04,6.83,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-36975,Government College of Technology,Coimbatore,Tamil Nadu,36.54,128,51.56,9.16,55.01,49.5,23.7,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0186,Jaypee University of Information Technology,Solan,Himachal Pradesh,36.53,129,47.14,21.27,55.23,46.01,3.56,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-18817,G. H. Raisoni College of Engineering,Nagpur,Maharashtra,36.46,130,52.49,8.85,60.93,48.69,9.87,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-50605,PSG Institute of Technology and Applied Research,Coimbatore,Tamil Nadu,36.41,131,60.8,2.1,55.86,49.86,13.78,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-27616,University College of Engineering,Hyderabad,Telangana,36.37,132,59.95,6.78,52.91,50.28,7.45,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-25622,Chaitanya Bharathi Institute of Technology,Hyderabad,Telangana,36.32,133,60.36,2.21,56.74,51.57,10.45,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-19754,SR University,Warangal,Telangana,36.11,134,62.51,6.49,41.74,62.54,8.07,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,Hyderabad,Telangana,36.06,135,61.89,6.83,50.96,47.63,4.9,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0332,The Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,Maharashtra,35.95,136,49.65,23.08,48.98,42.64,0.74,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-37064,Sri Krishna College of Technology,Coimbatore,Tamil Nadu,35.94,137,54.45,8.12,60.34,47.44,3.56,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-1400,NMAM Institute of Technology,"Nitte, Udupi",Karnataka,35.93,138,59.12,9.14,50.79,48.71,4.23,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
